,AAPL,MSFT,AMZN,GOOGL,TSLA,NVDA,BRK-A,FB,V,UNH
2012-06-01,17.859434127807617,25.034555435180664,228.35000610351562,290.3253173828125,6.257999897003174,3.1737985610961914,124945.0,31.100000381469727,28.879051208496094,50.214012145996094
2012-07-01,18.677783966064453,24.11795425415039,233.3000030517578,316.8017883300781,5.484000205993652,3.1094958782196045,127445.0,21.709999084472656,30.149791717529297,44.01565170288086
2012-08-01,20.34385108947754,25.22278594970703,248.27000427246094,342.88787841796875,5.703999996185303,3.2220265865325928,126560.0,18.059999465942383,29.958240509033203,46.78118133544922
2012-09-01,20.48832893371582,24.516637802124023,254.32000732421875,377.62762451171875,5.855999946594238,3.063565969467163,132700.0,21.65999984741211,31.420026779174805,47.73748779296875
2012-10-01,18.28377914428711,23.51158905029297,232.88999938964844,340.490478515625,5.625999927520752,2.7512388229370117,129505.0,21.110000610351562,32.46829605102539,48.441184997558594
2012-11-01,17.97542381286621,21.929866790771484,252.0500030517578,349.5345458984375,6.763999938964844,2.7489418983459473,131916.0,28.0,35.03047561645508,47.04850769042969
2012-12-01,16.418935775756836,22.184825897216797,250.8699951171875,354.0440368652344,6.77400016784668,2.833705186843872,134060.0,26.6200008392334,35.550392150878906,46.91876220703125
2013-01-01,14.053143501281738,22.799457550048828,265.5,378.2232360839844,7.501999855041504,2.833705186843872,145875.0,30.979999542236328,37.03497314453125,47.94819641113281
2013-02-01,13.618426322937012,23.09015464782715,264.2699890136719,401.0010070800781,6.966000080108643,2.926159381866455,152600.0,27.25,37.2061882019043,46.41968536376953
2013-03-01,13.736895561218262,23.959671020507812,266.489990234375,397.49249267578125,7.578000068664551,2.98364520072937,156280.0,25.579999923706055,39.91695022583008,49.68513870239258
2013-04-01,13.740619659423828,27.719852447509766,253.80999755859375,412.69769287109375,10.79800033569336,3.202244281768799,159000.0,27.770000457763672,39.59261703491211,52.249385833740234
2013-05-01,13.956296920776367,29.227285385131836,269.20001220703125,436.0460510253906,19.552000045776367,3.3650317192077637,171300.0,24.350000381469727,41.8676643371582,54.60335159301758
2013-06-01,12.386812210083008,29.128625869750977,277.69000244140625,440.6256408691406,21.472000122070312,3.281619071960449,168600.0,24.8799991607666,43.0298957824707,57.088104248046875
2013-07-01,14.136137962341309,26.851638793945312,301.2200012207031,444.3193054199219,26.856000900268555,3.3751118183135986,173900.0,36.79999923706055,41.67837142944336,63.79341506958008
2013-08-01,15.219783782958984,28.167236328125,280.9800109863281,423.8738708496094,33.79999923706055,3.4475691318511963,167050.0,41.290000915527344,41.068538665771484,62.821407318115234
2013-09-01,14.991057395935059,28.263803482055664,312.6400146484375,438.3934020996094,38.67399978637695,3.655230760574341,170410.0,50.22999954223633,45.07897186279297,62.70758056640625
2013-10-01,16.435928344726562,30.072755813598633,364.0299987792969,515.8057861328125,31.988000869750977,3.5683135986328125,172994.0,50.209999084472656,46.39289093017578,59.99913787841797
2013-11-01,17.485219955444336,32.38278579711914,393.6199951171875,530.3253173828125,25.45599937438965,3.6646268367767334,174750.0,47.0099983215332,47.99460220336914,65.46639251708984
2013-12-01,17.743860244750977,32.012245178222656,398.7900085449219,560.9158935546875,30.086000442504883,3.7836713790893555,177900.0,54.650001525878906,52.63462448120117,66.18716430664062
2014-01-01,15.832903861999512,32.38020324707031,358.69000244140625,591.0760498046875,36.28200149536133,3.7080914974212646,169511.0,62.56999969482422,50.920955657958984,63.77484893798828
2014-02-01,16.64384651184082,32.78240203857422,362.1000061035156,608.4334106445312,48.96200180053711,4.341065883636475,173708.0,68.45999908447266,53.405174255371094,68.17765045166016
2014-03-01,17.077552795410156,35.33872604370117,336.3699951171875,557.8128051757812,41.689998626708984,4.249159336090088,187350.0,60.2400016784668,51.11454772949219,72.3422622680664
2014-04-01,18.774999618530273,34.8300666809082,304.1300048828125,534.8800048828125,41.577999114990234,4.382020473480225,193275.0,59.779998779296875,47.97701644897461,66.44929504394531
2014-05-01,20.140275955200195,35.29561996459961,312.54998779296875,571.6500244140625,41.55400085449219,4.507762432098389,192000.0,63.29999923706055,50.87065124511719,70.51377868652344
2014-06-01,20.81299591064453,36.2044677734375,324.7799987792969,584.6699829101562,48.012001037597656,4.418887138366699,189900.0,67.29000091552734,49.98936080932617,72.39110565185547
2014-07-01,21.410980224609375,37.47206115722656,312.989990234375,579.5499877929688,44.65999984741211,4.171009063720703,188124.0,72.6500015258789,50.060516357421875,72.1085433959961
2014-08-01,22.95633888244629,39.44289779663086,339.0400085449219,582.3599853515625,53.939998626708984,4.63577938079834,205880.0,74.81999969482422,50.41876983642578,77.11742401123047
2014-09-01,22.67662811279297,40.501731872558594,322.44000244140625,588.4099731445312,48.5359992980957,4.416889190673828,206900.0,79.04000091552734,50.716880798339844,76.73486328125
2014-10-01,24.308454513549805,41.01716613769531,305.4599914550781,567.8699951171875,48.34000015258789,4.677833080291748,210000.0,74.98999786376953,57.386592864990234,84.88790893554688
2014-11-01,26.7685546875,41.76850509643555,338.6400146484375,549.0800170898438,48.90399932861328,5.020171165466309,223065.0,77.69999694824219,61.37035369873047,88.12223052978516
2014-12-01,24.95186996459961,40.836307525634766,310.3500061035156,530.6599731445312,44.481998443603516,4.8202362060546875,226000.0,78.0199966430664,62.44353103637695,90.32015991210938
2015-01-01,26.484512329101562,35.51747512817383,354.5299987792969,537.5499877929688,40.720001220703125,4.6158881187438965,215865.0,75.91000366210938,60.70738983154297,95.28838348388672
